ORF,Gene,Description,Control Median,Control STD,control Localization,DTT Median,DTT STD,DTT FoldChange,Significance DTT,DTT Localization,H2O2 Median,H2O2 STD,H2O2 FoldChange,Significance H2O2,H2O2 Localization,Starvation Median,Starvation STD,Starvation FoldChange,Significance Starvation ,Starvation Localization,Pup2-DAmP,MA3 Median,MA3 STD,MA3 FoldChange,Significance MA3 ,MA3 Localization
YHR077C,NMD2,Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance,30.11,5.484732057,cytosol,27.98,7.55,0.92,0,cytosol,32.97,4.66,1.09,0,cytosol,23.38,4.44,0.77,0,cytosol,cytosol,34.9472085,5.959908268,1.160280881,0,cytosol
YOR163W,DDP1,Polyphosphate phosphatase; hydrolyzes diphosphorylated inositol polyphosphates and diadenosine polyphosphates; has high specificity for diadenosine hexa- and pentaphosphates; member of the MutT family of nucleotide hydrolases,33.42,9.266827662,cytosol,40.56,13.08,1.21,0,cytosol,45.08,10.24,1.34,1,cytosol,59.63,9.73,1.78,1,cytosol,cytosol,33.11771125,6.441468086,0.990795214,0,cytosol
YHR059W,FYV4,"Protein of unknown function, required for survival upon exposure to K1 killer toxin",36.06,7.44193994,mitochondria,37.85,12.56,1.04,0,mitochondria,29.05,5.15,0.8,0,mitochondria,25.16,4.33,0.69,0,mitochondria,mitochondria,29.8450915,6.854100816,0.827522137,0,mitochondria
YJL155C,FBP26,"Fructose-2,6-bisphosphatase, required for glucose metabolism",29.75,7.254412718,cytosol,49.63,16.48,1.66,1,cytosol,32.31,5.64,1.08,0,cytosol,54.4,9.59,1.82,1,cytosol,cytosol,41.41507075,7.212474683,1.391586168,1,cytosol
YPL015C,HST2,Cytoplasmic member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro,41.67,10.16432156,cytosol,30.21,11,0.72,0,cytosol,44.06,8.25,1.05,0,cytosol,52.81,15.29,1.26,0,cytosol,cytosol,42.1693895,9.613807891,1.011943184,0,cytosol
YLR181C,VTA1,"Multivesicular body (MVB) protein involved in endosomal protein sorting; regulates Vps4p activity by promoting its oligomerization; has an N-terminal Vps60- and Did2- binding domain, a linker region, and a C-terminal Vps4p binding domain",32.59,8.662904208,punctate,36.08,12.45,1.1,0,punctate,30.43,7.09,0.93,0,punctate,39.61,7.45,1.21,0,punctate,punctate,36.37099925,6.003628508,1.115688453,0,punctate
YOL136C,PFK27,"6-phosphofructo-2-kinase, catalyzes synthesis of fructose-2,6-bisphosphate; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate, expression induced by glucose and sucrose, transcriptional regulation involves protein kinase A",31.1,7.806203064,punctate,22.44,7.53,0.72,-1,punctate,27.23,5.07,0.87,0,punctate,32.76,7.43,1.05,0,punctate,punctate,30.11243375,4.702411109,0.967923818,0,punctate
YML061C,PIF1,DNA helicase; exists in two forms; the nuclear form is involved in telomere formation and elongation; acts as a catalytic inhibitor of telomerase; the mitochondrial form is involved in repair and recombination of mitochondrial DNA,38.68,9.374362806,nucleus,39.04,12.93,1,0,nucleus,37.4,7.44,0.96,0,nucleus,29.96,6.36,0.77,0,nucleus,nucleus,35.06564925,4.830214232,0.906334564,0,nucleus
YML128C,MSC1,"Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated",28.91,15.78431968,ER,46.26,32.04,1.59,1,ER,39.27,17.5,1.35,1,ER,112.76,42.16,3.89,1,ER,ER,41.45818425,14.72472268,1.433798435,1,ER
YOR069W,VPS5,Nexin-1 homolog required for localizing membrane proteins from a prevacuolar/late endosomal compartment back to the late Golgi apparatus; structural component of the retromer membrane coat complex; forms a retromer subcomplex with Vps17p,28.85,7.430214002,punctate,30.67,12.16,1.06,0,punctate,25.92,5.88,0.89,0,punctate,37.09,7.21,1.28,0,punctate,punctate,24.9219485,3.695174993,0.86367959,0,punctate
YER123W,YCK3,"Palmitoylated, vacuolar membrane-localized casein kinase I isoform; negatively regulates vacuole fusion during hypertonic stress via phosphorylation of Vps41p; shares essential functions with Hrr25p; regulates vesicle fusion in AP-3 pathway",31.65,8.031876844,vacuole,28.01,6.99,0.88,0,vacuole,28.65,6.76,0.9,0,vacuole,41.41,5.02,1.3,0,vacuole,vacuole,25.41345425,3.755069061,0.802868972,0,vacuole
YKL205W,LOS1,Nuclear pore protein involved in nuclear export of pre-tRNA and in re-export of mature tRNAs after their retrograde import from the cytoplasm,37.88,8.594803769,nuclear periphery,28.76,9.28,0.75,0,nuclear periphery,37,8.33,0.97,0,nuclear periphery,21.04,3.28,0.55,-1,nuclear periphery,nuclear periphery,44.05425175,6.487085792,1.162647587,0,nuclear periphery
YDL224C,WHI4,Putative RNA binding protein and partially redundant Whi3p homolog that regulates the cell size requirement for passage through Start and commitment to cell division,32.85,6.033039686,cytosol,33.99,8.81,1.03,0,cytosol,34.97,4.81,1.06,0,cytosol,24.72,3.1,0.75,0,cytosol,cytosol,35.04802125,3.855469332,1.066530636,0,cytosol
YHR142W,CHS7,"Protein of unknown function, involved in chitin biosynthesis by regulating Chs3p export from the ER",29.91,9.127666298,punctate,32.1,11.02,1.07,0,punctate,19.71,3.9,0.65,-1,punctate,22.55,4.06,0.75,0,punctate,punctate,24.2278405,4.691562303,0.809832771,0,punctate
YLL031C,GPI13,ER membrane localized phosphoryltransferase that adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol (GPI) anchor precursor; similar to human PIG-O protein,35.51,8.633565387,ER,NA,NA,NA,0,technical problem,40.73,8.18,1.14,0,ER,31.89,5.54,0.89,0,ER,ER,29.9218245,4.479071521,0.842413464,0,ER
YGL212W,VAM7,Component of the vacuole SNARE complex involved in vacuolar morphogenesis; SNAP-25 homolog; functions with a syntaxin homolog Vam3p in vacuolar protein trafficking,30.03,6.725568087,vacuole,28.78,10.86,0.95,0,vacuole,29.31,5.25,0.97,0,vacuole,37.28,6.88,1.24,0,vacuole,vacuole,24.526979,3.414552389,0.816417376,0,vacuole
YPL190C,NAB3,Single stranded RNA binding protein; acidic ribonucleoprotein; required for termination of non-poly(A) transcripts and efficient splicing; interacts with Nrd1p,33.22,13.12184995,punctate,39.26,24.7,1.18,0,punctate,36.66,8.39,1.1,0,punctate,52.84,14.98,1.59,1,punctate,punctate,51.22430675,16.97304174,1.541659561,1,punctate
YIL036W,CST6,"Basic leucine zipper (bZIP) transcription factor of the ATF/CREB family, activates transcription of genes involved in utilization of non-optimal carbon sources; involved in telomere maintenance",32.17,6.132720367,nucleus,26.66,15.37,0.82,0,nucleus,30.37,6.2,0.94,0,nucleus,43.86,7.48,1.36,1,nucleus,nucleus,36.0616245,5.522366559,1.12067008,0,nucleus
YOR057W,SGT1,Cochaperone protein; regulates activity of adenylyl cyclase Cyr1p; involved in kinetochore complex assembly; associates with the SCF (Skp1p/Cdc53p/F box protein) ubiquitin ligase complex; acts as a linker between Skp1p and HSP90 complexes,30.34,7.202040367,cytosol,41.08,15.91,1.35,1,cytosol,38.15,8.43,1.25,0,cytosol,60.64,9.74,1.99,1,cytosol,cytosol,42.64861675,12.08803224,1.405460688,1,cytosol
YDR486C,VPS60,Cytoplasmic and vacuolar membrane protein involved in late endosome to vacuole transport; required for normal filament maturation during pseudohyphal growth; may function in targeting cargo proteins for degradation; interacts with Vta1p,34.32,11.22900755,vacuole membrane,44.35,20.47,1.29,0,vacuole membrane,40.08,10.46,1.16,0,vacuole membrane,37.56,8.59,1.09,0,vacuole membrane,vacuole membrane,32.73852525,6.423530562,0.953668013,0,vacuole membrane
YNL181W,YNL181W,Putative oxidoreductase; required for cell viability,31.95,7.831112071,ER,32.78,13.7,1.02,0,ER,34.18,5.24,1.06,0,ER,20.54,3.23,0.64,-1,ER,ER,32.7950945,3.756019766,1.026113472,0,ER
YOL135C,MED7,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation,31.59,8.746885763,nucleus,33.23,9.83,1.05,0,nucleus,25.47,7.97,0.8,0,nucleus,34.14,5.93,1.08,0,nucleus,nucleus,29.876624,4.835647214,0.945443951,0,nucleus
YPR138C,MEP3,Ammonium permease of high capacity and low affinity; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation ammonia permease,28.65,9.223315486,cell periphery,22.05,7.46,0.76,0,cell periphery,24.76,4.04,0.86,0,cell periphery,20.63,6.29,0.72,-1,cell periphery,cell periphery,32.59960175,5.788805256,1.137471703,0,cell periphery
YNL258C,DSL1,Peripheral membrane protein needed for Golgi-to-ER retrograde traffic; forms a complex with Sec39p and Tip20p that interacts with ER SNAREs Sec20p and Use1p; component of the ER target site that interacts with coatomer; interacts with Cin5p,31.17,7.821314877,ER,38.87,11.73,1.24,0,ER,34.28,4.42,1.09,0,ER,27.74,4.49,0.88,0,ER,ER,30.885542,4.201871098,0.990479601,0,ER
YNL246W,VPS75,"NAP family histone chaperone; binds to histones and Rtt109p, stimulating histone acetyltransferase activity; possesses nucleosome assembly activity in vitro; proposed role in vacuolar protein sorting and in double-strand break repair",33.15,7.432532466,nucleus,29.59,12.72,0.89,0,nucleus,31.31,6.16,0.94,0,nucleus,30.94,6.21,0.93,0,nucleus,nucleus,34.78520775,5.417011559,1.048872311,0,nucleus
YJL054W,TIM54,Component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane,28.68,6.824554063,mitochondria,28.55,7.76,0.99,0,mitochondria,25.47,4.15,0.88,0,mitochondria,24.37,5.23,0.84,0,mitochondria,mitochondria,23.300653,3.425287686,0.812362415,0,mitochondria
YER008C,SEC3,"Subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, Exo84p) which mediates targeting of post-Golgi vesicles to sites of active exocytosis; Sec3p specifically is a spatial landmark for secretion",NA,10.54784752,bud neck,31.01,8.26,0.98,0,bud neck,NA,NA,NA,0,cytosol,NA,NA,NA,0,punctate,bud neck,25.9186075,7.809788562,0.821693243,0,bud neck
YHR082C,KSP1,"Ser/thr protein kinase; nuclear translocation required for haploid filamentous growth; regulates filamentous growth induced nuclear translocation of Bcy1p, Fus3p, and Sks1p; overproduction causes allele-specific suppression of prp20-10",36.66,9.393733962,cytosol,49.66,19.82,1.35,1,cytosol,40.25,8.15,1.09,0,cytosol,37.62,6.02,1.02,0,cytosol,cytosol,48.96157375,7.957833887,1.335263651,0,cytosol
YDR017C,KCS1,"Inositol hexakisphosphate (IP6) and inositol heptakisphosphate (IP7) kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress response and telomere maintenance",36.03,7.259263462,cytosol,29.69,7.8,0.82,0,cytosol,36.46,5.98,1.01,0,cytosol,32.54,7.96,0.9,0,cytosol,cytosol,40.035734,7.836733708,1.110811201,0,cytosol
YNL139C,THO2,"Subunit of the THO complex, which is required for efficient transcription elongation and involved in transcriptional elongation-associated recombination; required for LacZ RNA expression from certain plasmids",35.64,7.925519883,nucleus,NA,NA,NA,0,"punctate,nucleus",34.78,6.71,0.97,0,nucleus,28.7,4.96,0.8,0,nucleus,nucleus,44.0769415,7.970463189,1.236473171,0,nucleus
YBR095C,RXT2,Subunit of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth,29.43,8.506923603,nucleus,36.6,10.44,1.24,0,nucleus,32.74,6.65,1.11,0,nucleus,28.5,4.22,0.96,0,nucleus,nucleus,32.9775065,5.837504935,1.120181984,0,nucleus
YKL127W,PGM1,"Phosphoglucomutase, minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism",29.67,9.528827427,cytosol,31.65,25.58,1.06,0,cytosol,35.04,9.08,1.18,0,cytosol,23.18,4.39,0.78,0,cytosol,cytosol,35.334828,5.074344968,1.190687602,0,cytosol
YDR373W,FRQ1,N-myristoylated calcium-binding protein that may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily,29.72,8.627349788,punctate,29.77,10.31,1,0,punctate,20.67,4.46,0.69,-1,punctate,27.55,5.68,0.92,0,punctate,punctate,24.0262895,3.657384582,0.80818696,0,punctate
YOR160W,MTR10,"Nuclear import receptor, mediates the nuclear localization of proteins involved in mRNA-nucleus export; promotes dissociation of mRNAs from the nucleus-cytoplasm mRNA shuttling protein Npl3p; required for retrograde import of mature tRNAs",37.25,8.373328466,nucleus:cytosol,30.13,10.68,0.8,0,"nucleus,cytosol",33.22,6.31,0.89,0,"nucleus,cytosol",32.49,5.67,0.87,0,"nucleus,cytosol",nucleus:cytosol,46.5093615,7.216330559,1.248329092,0,nucleus:cytosol
YPR042C,PUF2,"Member of the PUF protein family, which is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding membrane-associated proteins",33.11,6.897726156,cytosol,29.75,8.05,0.89,0,cytosol,41.41,6.43,1.25,0,cytosol,34.93,5.26,1.05,0,cytosol,cytosol,29.55784,3.970100935,0.892484094,0,cytosol
YDL120W,YFH1,Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog is mutated in Friedrich's ataxia,36.99,10.0613827,mitochondria,37.4,13.68,1.01,0,mitochondria,36.06,8.84,0.97,0,mitochondria,35.42,8.35,0.95,0,mitochondria,mitochondria,40.89221,10.5310279,1.105256117,0,mitochondria
YNL027W,CRZ1,Transcription factor that activates transcription of genes involved in stress response; nuclear localization is positively regulated by calcineurin-mediated dephosphorylation,30.28,7.720484317,cytosol,NA,NA,NA,0,nucleus,36.37,6.6,1.2,0,cytosol,34.53,7.13,1.14,0,nucleus,cytosol,29.1610265,4.931346374,0.9627078,0,cytosol
YGL209W,MIG2,"Protein containing zinc fingers, involved in repression, along with Mig1p, of SUC2 (invertase) expression by high levels of glucose; binds to Mig1p-binding sites in SUC2 promoter",29.68,8.737614196,nucleus,36.06,9.81,1.21,0,nucleus,30.79,6.14,1.03,0,nucleus,40.82,10.16,1.37,1,nucleus,nucleus,37.4533135,4.800872264,1.26152707,0,nucleus
YKL078W,DHR2,"Predominantly nucleolar DEAH-box ATP-dependent RNA helicase, required for 18S rRNA synthesis",32.1,8.999432172,nucleolus,27.14,6.68,0.84,0,nucleolus,36.99,6.66,1.15,0,nucleolus,18.85,4.37,0.58,-1,nucleolus,nucleolus,44.69366175,7.54844074,1.391916586,1,nucleolus
YJL204C,RCY1,F-box protein involved in recycling plasma membrane proteins internalized by endocytosis; localized to sites of polarized growth,34.33,9.949516241,cytosol,27.66,10.57,0.8,0,cytosol,18.64,4.34,0.54,0,cytosol,17.23,5.37,0.5,0,cytosol,cytosol,24.0529745,7.291528021,0.700510197,0,cytosol
YPR124W,CTR1,"High-affinity copper transporter of the plasma membrane, mediates nearly all copper uptake under low copper conditions; transcriptionally induced at low copper levels and degraded at high copper levels",26.46,10.63668879,cell periphery,54.44,37.43,2.05,1,cell periphery,38.16,16.07,1.44,1,cell periphery,23.33,7.84,0.88,0,cell periphery,"vacuole,cell periphery",21.866709,7.806072547,0.826225128,0,cell periphery
YLR223C,IFH1,"Essential protein with a highly acidic N-terminal domain; IFH1 exhibits genetic interactions with FHL1, overexpression interferes with silencing at telomeres and HM loci; potential Cdc28p substrate",30.97,6.323999848,nucleus,NA,NA,NA,0,"punctate,nucleus",31.44,4.43,1.01,0,nucleus,21.75,3.59,0.7,-1,nucleus,nucleus,41.869135,9.173540324,1.351744395,0,nucleus
YDR457W,TOM1,E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones,34.84,9.204810354,nucleolus,29.29,12.74,0.84,0,nucleolus,38.15,8.79,1.09,0,nucleolus,22.32,4.27,0.64,-1,nucleolus,nucleolus,36.9252205,6.380803594,1.059663346,0,nucleolus
YML097C,VPS9,A guanine nucleotide exchange factor involved in vesicle-mediated vacuolar protein transport; specifically stimulates the intrinsic guanine nucleotide exchange activity of Vps21p/Rab5: similar to mammalian ras inhibitors; binds ubiquitin,32.94,8.609277621,cytosol,34.63,10.3,1.05,0,cytosol,32.52,4.69,0.98,0,cytosol,21.92,2.82,0.66,0,cytosol,cytosol,33.719799,3.974904898,1.023234946,0,cytosol
YML062C,MFT1,"Subunit of the THO complex, which is a nuclear complex comprised of Hpr1p, Mft1p, Rlr1p, and Thp2p, that is involved in transcription elongation and mitotic recombination; involved in telomere maintenance",38.15,8.236639523,nucleus,38.69,10.78,1.01,0,nucleus,41.86,8.59,1.09,0,nucleus,56.95,8.91,1.49,1,nucleus,nucleus,34.95692925,5.061281856,0.91617799,0,nucleus
YGR080W,TWF1,"Twinfilin, highly conserved actin monomer-sequestering protein involved in regulation of the cortical actin cytoskeleton, composed of two cofilin-like regions, localizes actin monomers to sites of rapid filament assembly",28.49,9.037639948,punctate,46.3,15.29,1.62,1,punctate,35.86,7.59,1.25,0,punctate,63.35,10.93,2.22,1,punctate,punctate,40.09827925,12.65901636,1.407238195,1,punctate
YCR044C,PER1,"Protein of the endoplasmic reticulum, required for GPI-phospholipase A2 activity that remodels the GPI anchor as a prerequisite for association of GPI-anchored proteins with lipid rafts; functionally complemented by human ortholog PERLD1",30.94,8.10241138,ER,26.71,7.7,0.86,0,ER,25.91,5.05,0.83,0,ER,32.03,4.35,1.03,0,ER,ER,22.9710815,3.809912714,0.742297783,0,ER
YGR030C,POP6,"Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends",41.01,8.210829597,nucleus,27.53,8.84,0.67,0,nucleus,32.1,5.48,0.78,0,nucleus,20.17,3.35,0.49,-1,nucleus,nucleus,37.509133,4.444540535,0.914557809,0,nucleus
YKL170W,MRPL38,Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels,35.73,6.40795006,mitochondria,37.09,11.47,1.03,0,mitochondria,24.81,4.8,0.69,-1,mitochondria,36.81,6.09,1.02,0,mitochondria,mitochondria,26.825426,4.191073732,0.750502136,0,mitochondria
YER078C,ICP55,"Mitochondrial aminopeptidase; cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability; member of the aminopeptidase P family",26.58,7.486394043,mitochondria,33.42,12.37,1.25,0,mitochondria,21.85,5.31,0.82,0,mitochondria,20.18,3.33,0.75,-1,mitochondria,mitochondria,32.6375715,4.336316051,1.227456176,0,mitochondria
YML102W,CAC2,"Component of the chromatin assembly complex (with Rlf2p and Msi1p) that assembles newly synthesized histones onto recently replicated DNA, required for building functional kinetochores, conserved from yeast to humans",27.1,6.838713283,nucleus,31.44,10.37,1.16,0,nucleus,28.79,5.94,1.06,0,nucleus,23.51,3.41,0.86,0,nucleus,nucleus,30.79611975,4.60333253,1.136090913,0,nucleus
YDR138W,HPR1,"Subunit of THO/TREX complexes that couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p",34.95,7.56835462,nucleus,36.91,10.68,1.05,0,nucleus,38.23,8.73,1.09,0,nucleus,28.98,5.17,0.82,0,nucleus,nucleus,37.459449,5.120122902,1.071588661,0,nucleus
YFR016C,YFR016C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and bud; interacts with Spa2p; YFL016C is not an essential gene,36.19,8.803979616,cytosol,42.63,12.55,1.17,0,cytosol,42.06,6.45,1.16,0,cytosol,29.16,5.25,0.8,0,cytosol,cytosol,37.52689075,5.133777157,1.036710901,0,cytosol
YDL112W,TRM3,"2'-O-ribose methyltransferase, catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs",28.79,6.856409055,cytosol,27.56,13.41,0.95,0,cytosol,33.11,6.36,1.14,0,cytosol,21.25,4.43,0.73,0,cytosol,cytosol,32.4561825,4.088908249,1.126920818,0,cytosol
YLR386W,VAC14,"Protein involved in regulated synthesis of PtdIns(3,5)P(2), in control of trafficking of some proteins to the vacuole lumen via the MVB, and in maintenance of vacuole size and acidity; interacts with Fig4p; activator of Fab1p",31.77,7.300530716,vacuole membrane,32.26,13.24,1.01,0,vacuole membrane,32.82,6.63,1.03,0,vacuole membrane,37.85,6.09,1.19,0,vacuole membrane,vacuole membrane,38.239361,7.100962109,1.203306432,0,vacuole membrane
YJR085C,YJR085C,"Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",25.75,6.393478282,mitochondria,32.21,13.84,1.25,0,mitochondria,29.56,6.12,1.14,0,mitochondria,32.84,5.47,1.27,0,mitochondria,mitochondria,20.00546775,4.981536219,0.776737606,0,mitochondria
YBL001C,ECM15,"Non-essential protein of unknown function, likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis",26.26,6.646155988,cytosol,24.63,8.41,0.93,0,cytosol,27.3,5.8,1.03,0,cytosol,35.75,7.29,1.36,0,cytosol,cytosol,18.08102675,3.814009471,0.688338311,-1,cytosol
YDR063W,AIM7,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; null mutant is viable and displays elevated frequency of mitochondrial genome loss,40.33,10.80410806,cytosol,39.81,15.34,0.98,0,cytosol,32.89,5.77,0.81,0,cytosol,60.95,8.14,1.51,1,cytosol,cytosol,34.1461275,4.644516606,0.846518948,0,cytosol
YKL025C,PAN3,"Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex, which acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes",29.74,6.947124316,cytosol,33.32,12.2,1.12,0,cytosol,37.18,6.87,1.24,0,cytosol,29.72,6.08,0.99,0,cytosol,cytosol,33.1643875,3.21866811,1.114683197,0,cytosol
YOL056W,GPM3,"Homolog of Gpm1p phosphoglycerate mutase, which converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; may be non-functional derivative of a gene duplication event",35.37,7.890094139,cytosol,19.21,8.46,0.54,0,cytosol,30.67,5.63,0.86,0,cytosol,15.66,3.62,0.44,0,cytosol,cytosol,33.6481465,5.394280952,0.950985742,0,cytosol
YOR140W,SFL1,"Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p",35.65,7.469942224,nucleus,28.34,12.14,0.79,0,nucleus,36.57,7.05,1.02,0,nucleus,32.3,4.52,0.9,0,nucleus,nucleus,39.81219275,7.410815792,1.116597246,0,nucleus
YKR079C,TRZ1,tRNA 3'-end processing endonuclease tRNase Z; also localized to mitochondria and interacts genetically with Rex2 exonuclease; homolog of the human candidate prostate cancer susceptibility gene ELAC2,33.31,8.630915897,nucleus,30.11,9.55,0.9,0,nucleus,28.69,5.79,0.86,0,nucleus,27.09,6.11,0.81,0,nucleus,nucleus,30.51801575,5.43597196,0.915952626,0,nucleus
YKL086W,SRX1,"Sulfiredoxin, contributes to oxidative stress resistance by reducing cysteine-sulfinic acid groups in the peroxiredoxins Tsa1p and Ahp1p that are formed upon exposure to oxidants; conserved in higher eukaryotes",30.71,10.89713073,cytosol,35.86,23.16,1.16,0,cytosol,188.95,260.41,6.15,1,cytosol,83.9,19.23,2.73,1,cytosol,cytosol,26.70019575,7.469762121,0.869159354,0,cytosol
YPR055W,SEC8,"Essential 121kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis",NA,7.537457929,bud neck,29.46,8.31,0.98,0,bud neck,NA,NA,NA,0,cytosol,NA,NA,NA,0,punctate,bud neck,23.812727,4.614513073,0.799673988,0,bud neck
YKL113C,RAD27,"5' to 3' exonuclease, 5' flap endonuclease, required for Okazaki fragment processing and maturation as well as for long-patch base-excision repair; member of the S. pombe RAD2/FEN1 family",34.78,10.35079935,nucleus,24.16,10.67,0.69,-1,nucleus,37.5,9.04,1.07,0,nucleus,43.07,16.42,1.23,0,nucleus,nucleus,34.5423805,6.144002851,0.993019238,0,nucleus
YBR162C,TOS1,"Covalently-bound cell wall protein of unknown function; identified as a cell cycle regulated SBF target gene; deletion mutants are highly resistant to treatment with beta-1,3-glucanase; has sequence similarity to YJL171C",34.45,12.00114887,vacuole,39.25,24.79,1.13,0,vacuole,30.2,8.46,0.87,0,vacuole,21.35,6.28,0.61,-1,vacuole,vacuole,32.32010525,6.791477445,0.93788914,0,vacuole
YDR041W,RSM10,"Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S10 ribosomal protein; essential for viability, unlike most other mitoribosomal proteins",33.5,9.752484426,mitochondria,35.04,14.68,1.04,0,mitochondria,30.88,5.22,0.92,0,mitochondria,33.56,5.66,1,0,mitochondria,mitochondria,35.8622105,4.594170384,1.070373144,0,mitochondria
YHR046C,INM1,"Inositol monophosphatase, involved in biosynthesis of inositol and in phosphoinositide second messenger signaling; INM1 expression increases in the presence of inositol and decreases upon exposure to antibipolar drugs lithium and valproate",33.79,9.394303098,cytosol,26.7,11.1,0.78,0,cytosol,35.7,7.44,1.05,0,cytosol,16.48,2.9,0.48,0,cytosol,cytosol,37.209425,5.532236758,1.10076533,0,cytosol
YGR046W,TAM41,Mitochondrial protein involved in protein import into the mitochondrial matrix; maintains the functional integrity of the TIM23 protein translocator complex; viability of null mutant is strain-dependent; mRNA is targeted to the bud,28.68,6.948300878,mitochondria,29.87,8.6,1.04,0,mitochondria,30.37,5.53,1.05,0,mitochondria,55.76,10.16,1.94,1,mitochondria,mitochondria,31.64081075,4.946260304,1.103005421,0,mitochondria
YOR131C,YOR131C,Putative protein of unknown function; non-essential gene; overexpression causes a cell cycle delay or arrest,36.87,8.021252574,cytosol,44.03,14.47,1.19,0,cytosol,28.37,5.78,0.76,0,cytosol,26.57,7.32,0.72,0,cytosol,cytosol,37.59447125,7.200265445,1.019431044,0,cytosol
YNL272C,SEC2,"Guanyl-nucleotide exchange factor for the small G-protein Sec4p; essential for post-Golgi vesicle transport; associates with the exocyst, via exocyst subunit Sec15p, on secretory vesicles",NA,8.392892879,cytosol:bud neck,28.92,10.43,0.91,0,"cytosol,bud neck",NA,NA,NA,0,cytosol,32.54,6.05,1.03,0,"cytosol,bud neck",cytosol:bud neck,23.78357425,3.430858657,0.754649519,0,cytosol:bud neck
YLR436C,ECM30,Non-essential protein of unknown function,28.15,6.093113113,punctate:cytosol,31.05,10.44,1.1,0,"punctate,cytosol",32.73,5.58,1.16,0,"punctate,cytosol",30.31,6.1,1.07,0,"punctate,cytosol",punctate:cytosol,32.1203765,3.95044833,1.140839607,0,punctate:cytosol
YPR045C,YPR045C,Protein of unknown function; involvement in splicing based on pre-mRNA accumulation defect for many intron-containing genes; contains a SAC3 domain; physically interacts with Csn12p; YRP045C is not an essential gene,31.04,6.743458742,nucleus,34.7,12.25,1.11,0,nucleus,32.73,6.5,1.05,0,nucleus,23.95,5.94,0.77,0,nucleus,nucleus,29.1320905,3.662472,0.938231503,0,nucleus
YNR029C,YNR029C,"Putative protein of unknown function, deletion confers reduced fitness in saline",29.96,7.882504061,cytosol,32.15,11.13,1.07,0,cytosol,30.22,6.33,1,0,cytosol,22.96,5.04,0.76,0,cytosol,cytosol,35.997651,7.522526906,1.201276941,0,cytosol
